#Ensembl gene	external name	external name source	biotype	status	chromosome	start	end	strand	source	description
ENSG00000000003	TSPAN6	HGNC	protein_coding	KNOWN	X	99883667	99894988	-1	ensembl	tetraspanin 6 [Source:HGNC Symbol;Acc:11858]
ENSG00000000005	TNMD	HGNC	protein_coding	KNOWN	X	99839799	99854882	1	ensembl	tenomodulin [Source:HGNC Symbol;Acc:17757]
ENSG00000000419	DPM1	HGNC	protein_coding	KNOWN	20	49551404	49575092	-1	ensembl	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]
ENSG00000000457	SCYL3	HGNC	protein_coding	KNOWN	1	169821804	169863408	-1	ensembl	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]
ENSG00000000460	C1orf112	HGNC	protein_coding	KNOWN	1	169631245	169823221	1	ensembl	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]
ENSG00000000938	FGR	HGNC	protein_coding	KNOWN	1	27938575	27961788	-1	ensembl	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog [Source:HGNC Symbol;Acc:3697]
ENSG00000000971	CFH	HGNC	protein_coding	KNOWN	1	196621008	196716634	1	ensembl	complement factor H [Source:HGNC Symbol;Acc:4883]
ENSG00000001036	FUCA2	HGNC	protein_coding	KNOWN	6	143816614	143832827	-1	ensembl	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]
ENSG00000001084	GCLC	HGNC	protein_coding	KNOWN	6	53362139	53481768	-1	ensembl	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]
ENSG00000001167	NFYA	HGNC	protein_coding	KNOWN	6	41040684	41067715	1	ensembl	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]
ENSG00000001460	C1orf201	HGNC	protein_coding	KNOWN	1	24683489	24743424	-1	ensembl	chromosome 1 open reading frame 201 [Source:HGNC Symbol;Acc:28070]
